"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"VAL"
"Число умерших(Человек)"	"2008 год"	"200812"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 924"
"Число умерших(Человек)"	"2003 год"	"200312"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 618"
"Число умерших(Человек)"	"2004 год"	"200412"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 499"
"Число умерших(Человек)"	"2006 год"	"200612"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 499"
"Число умерших(Человек)"	"2016 год"	"201612"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 812"
"Число умерших(Человек)"	"2010 год"	"201012"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 941"
"Число умерших(Человек)"	"2015 год"	"201512"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 758"
"Число умерших(Человек)"	"2013 год"	"201312"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 797"
"Число умерших(Человек)"	"2014 год"	"201412"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 682"
"Число умерших(Человек)"	"2012 год"	"201212"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 950"
"Число умерших(Человек)"	"2021 год"	"202112"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 761"
"Число умерших(Человек)"	"2020 год"	"202012"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 661"
"Число умерших(Человек)"	"2019 год"	"201912"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 933"
"Число умерших(Человек)"	"2018 год"	"201812"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 853"
"Число умерших(Человек)"	"2022 год"	"202212"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 902"
"Число умерших(Человек)"	"2017 год"	"201712"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 762"
"Число умерших(Человек)"	"2023 год"	"202312"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 822"
"Число умерших(Человек)"	"2024 год"	"202412"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 982"
"Число умерших(Человек)"	"2009 год"	"200912"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 603"
"Число умерших(Человек)"	"2011 год"	"201112"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 636"
"Число умерших(Человек)"	"2000 год"	"200012"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 992"
"Число умерших(Человек)"	"2005 год"	"200512"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 109"
"Число умерших(Человек)"	"2001 год"	"200112"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 116"
"Число умерших(Человек)"	"2002 год"	"200212"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 092"
"Число умерших(Человек)"	"2007 год"	"200712"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 926"
"Число умерших(Человек)"	"2008 год"	"200812"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 695"
"Число умерших(Человек)"	"2003 год"	"200312"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 089"
"Число умерших(Человек)"	"2004 год"	"200412"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 141"
"Число умерших(Человек)"	"2006 год"	"200612"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 097"
"Число умерших(Человек)"	"2016 год"	"201612"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 476"
"Число умерших(Человек)"	"2010 год"	"201012"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 756"
"Число умерших(Человек)"	"2015 год"	"201512"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"1 467"
