"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"VAL"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"148 769"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"168 447"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"159 328"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"164 681"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"141 791"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"128 359"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"140 256"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"128 839"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"120 851"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"РЕСПУБЛИКА КАЗАХСТАН"	"0"	"Всего"	"0"	"123 626"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 524"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 682"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 434"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"7 562"
"Число зарегистрированных браков(Человек)"	"2000 год"	"200012"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 597"
"Число зарегистрированных браков(Человек)"	"2005 год"	"200512"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 000"
"Число зарегистрированных браков(Человек)"	"2002 год"	"200212"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 613"
"Число зарегистрированных браков(Человек)"	"2001 год"	"200112"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 546"
"Число зарегистрированных браков(Человек)"	"2007 год"	"200712"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 943"
"Число зарегистрированных браков(Человек)"	"2003 год"	"200312"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 139"
"Число зарегистрированных браков(Человек)"	"2008 год"	"200812"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 735"
"Число зарегистрированных браков(Человек)"	"2006 год"	"200612"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 336"
"Число зарегистрированных браков(Человек)"	"2004 год"	"200412"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 703"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"5 628"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 659"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 418"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"7 115"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 591"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"7 166"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"КОСТАНАЙСКАЯ ОБЛАСТЬ"	"0"	"Всего"	"0"	"6 010"
