"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"VAL"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"145"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"207"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"173"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"212"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"107"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"103"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"91"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"89"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"75"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"КУРЧУМСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"69"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"76"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"84"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"224"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"196"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"121"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"192"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"133"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"187"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"155"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"191"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"103"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"101"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"76"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"82"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"77"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"14"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"76"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"84"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"224"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"196"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"121"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"192"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"133"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"187"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"155"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"191"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"103"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"101"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"76"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"82"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"77"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"КАТОН-КАРАГАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"14"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"213"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"231"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"463"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"417"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"282"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"428"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"306"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"404"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"334"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"464"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"255"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"62"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"184"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"191"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"74"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"Всего"	"0"	"87"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"213"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"231"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"463"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"417"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"282"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"428"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"306"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"404"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"334"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"464"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"255"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"62"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"184"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"191"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"74"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"ТАРБАГАТАЙСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"87"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"104"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"102"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"254"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"262"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"131"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"227"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"129"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"213"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"180"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"290"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"118"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"139"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"83"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"82"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"128"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"УЛАНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"151"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"104"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"102"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"254"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"262"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"131"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"227"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"129"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"213"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"180"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"290"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"118"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"139"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"83"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"82"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"128"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"УЛАНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"151"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"371"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"297"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"562"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"628"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"422"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"565"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"394"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"600"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"546"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"544"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"401"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"327"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"296"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"327"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"319"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"УРДЖАРСКИЙ РАЙОН"	"0"	"Всего"	"0"	"219"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"371"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"297"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"562"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"628"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"422"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"565"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"394"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"600"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"546"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"544"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"401"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"327"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"296"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"327"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"319"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"УРДЖАРСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"219"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"317"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"283"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"383"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"470"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"283"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"389"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"309"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"438"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"421"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"391"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"328"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"292"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"317"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"275"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"274"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"Всего"	"0"	"263"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"146"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"152"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"159"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"211"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"150"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"194"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"150"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"205"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"192"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"179"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"178"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"158"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"155"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"131"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"129"
"Число зарегистрированных браков(Человек)"	"2024 год"	"202412"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"городская местность"	"0"	"117"
"Число зарегистрированных браков(Человек)"	"2019 год"	"201912"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"171"
"Число зарегистрированных браков(Человек)"	"2018 год"	"201812"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"131"
"Число зарегистрированных браков(Человек)"	"2009 год"	"200912"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"224"
"Число зарегистрированных браков(Человек)"	"2011 год"	"201112"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"259"
"Число зарегистрированных браков(Человек)"	"2016 год"	"201612"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"133"
"Число зарегистрированных браков(Человек)"	"2010 год"	"201012"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"195"
"Число зарегистрированных браков(Человек)"	"2015 год"	"201512"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"159"
"Число зарегистрированных браков(Человек)"	"2013 год"	"201312"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"233"
"Число зарегистрированных браков(Человек)"	"2014 год"	"201412"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"229"
"Число зарегистрированных браков(Человек)"	"2012 год"	"201212"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"212"
"Число зарегистрированных браков(Человек)"	"2017 год"	"201712"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"150"
"Число зарегистрированных браков(Человек)"	"2022 год"	"202212"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"134"
"Число зарегистрированных браков(Человек)"	"2021 год"	"202112"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"162"
"Число зарегистрированных браков(Человек)"	"2020 год"	"202012"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"144"
"Число зарегистрированных браков(Человек)"	"2023 год"	"202312"	"ШЕМОНАИХИНСКИЙ РАЙОН"	"0"	"сельская местность"	"0"	"145"
