"NAM"	"DAT"	"PERIOD"	"КАТО(по каталогу)"	"LКАТО(по каталогу)"	"СПТМ (по каталогу)"	"LСПТМ (по каталогу)"	"СП"	"LСП"	"VAL"
"Естественный прирост населения(Человек)"	"2002 год"	"200212"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 611"
"Естественный прирост населения(Человек)"	"2001 год"	"200112"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 668"
"Естественный прирост населения(Человек)"	"2007 год"	"200712"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 923"
"Естественный прирост населения(Человек)"	"2003 год"	"200312"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 444"
"Естественный прирост населения(Человек)"	"2008 год"	"200812"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 900"
"Естественный прирост населения(Человек)"	"2006 год"	"200612"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 654"
"Естественный прирост населения(Человек)"	"2004 год"	"200412"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 003"
"Естественный прирост населения(Человек)"	"2011 год"	"201112"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 783"
"Естественный прирост населения(Человек)"	"2014 год"	"201412"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 466"
"Естественный прирост населения(Человек)"	"2015 год"	"201512"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 443"
"Естественный прирост населения(Человек)"	"2013 год"	"201312"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 448"
"Естественный прирост населения(Человек)"	"2012 год"	"201212"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 127"
"Естественный прирост населения(Человек)"	"2021 год"	"202112"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 195"
"Естественный прирост населения(Человек)"	"2018 год"	"201812"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 399"
"Естественный прирост населения(Человек)"	"2022 год"	"202212"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 579"
"Естественный прирост населения(Человек)"	"2019 год"	"201912"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 684"
"Естественный прирост населения(Человек)"	"2020 год"	"202012"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 098"
"Естественный прирост населения(Человек)"	"2017 год"	"201712"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 294"
"Естественный прирост населения(Человек)"	"2023 год"	"202312"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 976"
"Естественный прирост населения(Человек)"	"2024 год"	"202412"	"АТЫРАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"6 022"
"Естественный прирост населения(Человек)"	"2009 год"	"200912"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 781"
"Естественный прирост населения(Человек)"	"2016 год"	"201612"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"7 288"
"Естественный прирост населения(Человек)"	"2010 год"	"201012"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 553"
"Естественный прирост населения(Человек)"	"2000 год"	"200012"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 568"
"Естественный прирост населения(Человек)"	"2005 год"	"200512"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"4 800"
"Естественный прирост населения(Человек)"	"2002 год"	"200212"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 511"
"Естественный прирост населения(Человек)"	"2001 год"	"200112"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"2 838"
"Естественный прирост населения(Человек)"	"2007 год"	"200712"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 069"
"Естественный прирост населения(Человек)"	"2003 год"	"200312"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"3 971"
"Естественный прирост населения(Человек)"	"2008 год"	"200812"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 222"
"Естественный прирост населения(Человек)"	"2006 год"	"200612"	"МАНГИСТАУСКАЯ ОБЛАСТЬ"	"0"	"городская местность"	"0"	"Всего"	"0"	"5 567"
